,Car Park,Weekdays  before 5/6pm,Weekdays  after 5/6pm,Saturdays,Sundays/Public Holidays
307,One Holland Village,12am-6pm: $2.18 for the first 1 hour; $0.55 for sub. 15min,Per Entry: $3.27 (6pm to midnight),12am-6pm: $2.29 for the first 1 hour; $0.57 for sub.. 15min; 6pm-7am: #3.43 per entry,12am-6pm: $2.29 for the first 1 hour; $0.57 for sub.. 15min; 6pm-7am: #3.43 per entry
308,Parksuites,$1.52 for 1st hr; $0.38 for sub. 15min.,6pm-12am: $2.29 per entry.,$1.75 for 1st hr; $0.44 for sub. 15min. 6pm-12am: $2.62 per entry.,$1.75 for 1st hr; $0.44 for sub. 15min. 6pm-12am: $2.62 per entry.
309,Perennial Business City (formerly known as Big Box),12.01am-5pm: $1.20 for 1st hr; $0.60 per 30 mins,5.01pm-12am: $2.50 per entry,12.01am-5pm: $1.20 for 1st hr; $0.60 per 30 mins,12.01am-5pm: $1.20 for 1st hr; $0.60 per 30 mins
310,Queensway Shopping Centre,8am-5.59pm: $1.92 for 1st hr; $1.71 for sub..30min,Aft 6pm: $3.53 per entry,8am-5.59pm: $1.92 for 1st hr; $1.71 for sub..30min,8am-5.59pm: $1.92 for 1st hr; $1.71 for sub..30min
311,Rochester Mall,Daily: $1.30/hr; $0.65 for next sub. 30min,-,-,-
312,Serene Centre,"7am-7pm: $2.14 for 1st hr, $1.93 for sub. 30min",-,"7am-7pm: $2.14 for 1st hr, $1.93 for sub. 30min","7am-7pm: $2.14 for 1st hr, $1.93 for sub. 30min"
313,The Clementi Mall,Daily: $1.70 for 1st hr or part thereof; $0.85 for sub. ½ hr,-,-,-
314,The Metropolis,12am-6am: $2.68/entry; 6am-6pm: $2.68 for 1st hr; sub. $1.34 per 30min,6pm-12am: $2.68/entry,6am-6pm: $1.07/hr or part thereof; 6pm-12am: $2.68 per entry; 12am-6am: $2.68 per entry,6am-6pm: $1.07/hr or part thereof; 6pm-12am: $2.68 per entry; 12am-6am: $2.68 per entry
315,The Star Vista,12.00am-11.59pm: $1.80 for 1st hr; $0.90 for sub. 30min or part thereof,-,12.00am-11.59pm: $1.80 for 1st hr; $0.90 for sub. 30min or part thereof,12.00am-11.59pm: $2.30 for 1st hr; $1.15 for sub. 30min or part thereof; Cap of $10 for full day car parking on Sundays and Public Holidays
316,Tiong Bahru Plaza,6am-6pm: For 1st hr or part thereof $1.40; $1.00 sub. 30min or part thereof,6pm-6am: Per entry $3.30,6am-6pm: For 1st hr or part thereof $1.40; $1.00 sub. 30min or part thereof,6am-6pm: For 1st hr or part thereof $1.40; $1.00 sub. 30min or part thereof
317,Valley Point,Daily: $1.57 for 1st hr; $0.82 for sub. ½ hr,-,-,-
318,West Coast Plaza,12am-6pm: $1.53 for 1st hr; $0.38 for sub. 15min,6pm-12am: $2.29 per entry,12am-6pm: $1.64 for 1st hr; $0.41 for sub. 15min; 6pm-12am: $2.45 per entry,12am-6pm: $1.64 for 1st hr; $0.41 for sub. 15min; 6pm-12am: $2.45 per entry
319,West Mall,6am-4.59pm: $2.20 for 1st 2hrs or part thereof; $0.70 for sub. ½ hr or part thereof,5pm-6am: $2.95 per entry,6am-4.59pm: $1.40 for 1st hr or part thereof; $0.70 for sub. ½ hr or part thereof; 5pm-6am: $2.95 per entry,6am-6am next day: $2.95 per entry
320,Westgate,12am-6pm: $1.60 for 1st hr; $0.55 for sub. 15min,6pm-11.59pm: $3.25 per entry,12am-6pm: $1.60 for 1st hr; $0.55 for sub. 15min,12am-6pm: $1.60 for 1st hr; $0.55 for sub. 15min
321,Woods Square,Daily: 12am-11.59pm: $1.31 for 1st hr; $0.65 for sub. 30min,-,-,-
322,Amara Hotel,8am-4.59pm: $2 per 30 mins,5pm-7.59am (next day) : $3 per entry,8am-4.59pm: $2 per 30 mins,8am-7.59m: $3 per entry
323,Berjaya Hotel,8.30am-5pm: $1 per ½ hr,5pm-10pm: $1 per hr; Aft 10pm: Free,8.30am-5pm: $1 per ½ hr,8.30am-10pm: $1 per hr; 10pm-8.30pm: Free
324,Carlton Hotel,7am-6pm: $3.50 for 1st hr; $1.50 for for sub. ½ hr,Aft 6pm: $6.50 per entry,7am-6pm: $3.50 for 1st hr; $1.50 for for sub. ½ hr,7am-6pm: $3.50 for 1st hr; $1.50 for for sub. ½ hr
325,Changi Village Hotel,6am-5pm: $4 for 1st hr; $3 for sub. hr.,Mon-Thur: 6pm-5am the following day: $6.50 per entry. Fri: 5pm-12am: $4 for 1st hr; $3 for sub. hr. 12am-5am the following day: $6.50 per entry.,"6am-6am the following day: $4 for 1st hr, $3 for next sub hr","6am-6am the following day: $4 for 1st hr, $3 for next sub hr"
326,Concorde Hotel,7am-6pm: $2.14 for 1st hr; $1.39 for sub.30 mins,Aft 6pm: $3.75 per entry,7am-6pm: $2.14 for 1st hr; $1.39 for sub.30 mins,$3.75 per entry
327,Conrad Centennial Hotel,7am-6pm: $3.40 for 1st hr; $1.20 per sub.½ hr (Millenia Singapore - Basement Carpark),6pm-7am: $2.30 per entry,7am-7am: $2.30 for 1st 2hrs; $1.20 per sub. 1hr,7am-7am: $2.30 for 1st 2hrs; $1.20 per sub. 1hr
328,Copthorne King's Hotel,7am-12am: $4 for 1st hr; $1.50 for sub ½ hr,Aft 12am: $4 for 1st hr; $2 for sub ½ hr,7am-12am: $4 for 1st hr; $1.50 for sub ½ hr,7am-12am: $4 for 1st hr; $1.50 for sub ½ hr
329,Elizabeth Hotel,7am-6pm: $4 for 1st hr; $2 for sub. 30min,Aft 6pm: $5 per entry,7am-6pm: $4 for 1st hr; $2 for sub. 30min,$5 per entry
330,Four Seasons Hotel,6am-6pm: $6 for 1st hr; $3 for sub. 30min,Aft 6pm: $6 per entry,6am-6pm: $6 for 1st hr; $3 for sub. 30min,6am-6pm: $6 for 1st hr; $3 for sub. 30min
331,Fullerton Hotel,7.01am-6pm: $1.20 per 10 mins,6.01pm-12am: $6.54 per entry. 12.01am-7am-$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry
332,Furama City Centre Singapore,5.59am-6pm: $1.70 per ½ hr,Aft 6pm: $3.21 per entry,5.59am-6pm: $1.70 per ½ hr,5.59am-6pm: $1.70 per ½ hr
333,Furama Riverfront Singapore,7am-5pm: $1.07 per ½ hr,Aft 5pm: $6.42 per entry,7am-5pm: $1.07 per ½ hr,7am-5pm: $1.07 per ½ hr
334,Genting Hotel Jurong,Mon-Thurs : $3 per hour or part thereof.,Mon-Thurs : $3 per hour or part thereof.,Fri/ Sat/ Sun/ PH: $4 per hr.,Fri/ Sat/ Sun/ PH: $4 per hr
335,Goodwood Park Hotel,8am-6.59pm: $5.05 for 1st hr; $2.53 for sub. 30min,6pm-8am: $6.06/entry,8am-6.59pm: $5.05 for 1st hr; $2.53 for sub. 30min,8am-7.59am: $6.06/entry
336,Grand Copthorne Waterfront Hotel,7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr,5pm-7am next day: $4.28 per entry,7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr,7am-7am next day: $4.28 per entry
337,Grand Hyatt Singapore (Hotel currently closed for reno),4am-5.59pm: $4 for 1st hr; $2 for next sub. 30min,6pm-3.59am: $6/entry,4am-5.59pm: $4 for 1st hr; $2 for next sub. 30min,4am-5.59pm: $4 for 1st hr; $2 for next sub. 30min
338,Grand Mercure Roxy Hotel,Daily: $1.60 per hr,-,-,-
339,Grand Park City Hall Hotel,8am-5pm: $3.28 for 1st hr; $1.55 for sub. 30 mins,5pm-8am next day: $5.35 per entry,8am-5pm: $3.28 for 1st hr; $1.55 for sub. 30 mins,8am-5pm: $3.28 for 1st hr; $1.55 for sub. 30 mins
340,Hilton Hotel,"$7.00 for 1st hr, $3.50 for next subsequent 30min from 7am to 6pm",Aft 6pm: $7 per entry,"$7.00 for 1st hr, $3.50 for next subsequent 30min from 7am to 6pm","$7.00 for 1st hr, $3.50 for next subsequent 30min from 7am to 6pm"
341,Holiday Inn Express Singapore,7am-7am: $3.00/30min,-,7am-7am: $3.00/30min,7am-7am: $3.00/30min
342,Holiday Inn Express Singapore Katong,"6.01am-10am: $0.48 for 1st hr, $0.12/15min; 10.01am-6pm: $0.96 for 1st hr; $0.24 for sub. 15min; Free parking from 12pm to 2pm except on PH","6.01pm-10pm: $1.00 for 1st hr, $0.25/15min; 10.01pm-6am: $0.32 for 1st hr, $0.08/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min"
343,Holiday Inn Singapore Atrium,All day : S$2.00 per hour,All day : S$2.00 per hour,All day : S$2.00 per hour,All day : S$2.00 per hour
344,Holiday Inn Singapore Orchard City Centre,12am-2.59pm: $4 per hr; 3pm-11.59pm: $1.20/hr. Capped at $13.90/day,3pm-11.59pm: $1.20 per hr. Capped at $13.90/day,12am-2.59pm: $4/hr; 3pm-11.59pm: $1.20/hr. Capped at $4.90/day,12am-2.59pm: $4/hr; 3pm-11.59pm: $1.20/hr. Capped at $4.90/day
345,Hotel Grand Pacific,7am-5pm: $1.50 per ½ hr,Aft 5pm: $4 per entry,7am-5pm: $1.50 per ½ hr,7am to 7am next day: $4 per entry
346,Hotel Indigo Singapore Katong,"6.01am-10am: $0.48 for 1st hr, $0.12/15min; 10.01am-6pm: $0.96 for 1st hr; $0.24 for sub. 15min; Free parking from 12pm to 2pm except on PH","6.01pm-10pm: $1.00 for 1st hr, $0.25/15min; 10.01pm-6am: $0.32 for 1st hr, $0.08/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min","6.01am-10am: $0.54 for 1st hr; $0.16/15min; 10.01am-9pm: $1.28 for 1st hr; $0.65/15min. 9.01pm-6am: $0.54 for 1st hr, $0.16/15min"
347,Ibis Singapore On Bencoolen Hotel,8am-5pm: $1.50 per 30min.,5pm-8am: $1.50 per 30min.,8am-5pm: $1.50 per 30min.,8am-5pm: $1.50 per 30min.
348,Inter-continental Singapore Hotel,8am-5pm: $1.60 for 1st hr; $0.40 for sub. 10mins,5pm-8am the following day: $2.70 for 1st 2hr; $0.27 for sub. 10mins,8am-8am the following day: $2.70 for 1st 2hr; $0.27 for sub. 10mins,8am-8am the following day: $2.70 for 1st 2hr; $0.27 for sub. 10mins
349,InterContinental Singapore Robertson Quay,"7am-6pm: $3.50 for 1st hr, $2 for next sub hr.",6pm-10pm: $5 per entry. 10pm-7am the following day: $2 for next sub 30 min.,"7am-6pm: $3.50 for 1st hr, $2 for next sub hr.","7am-6pm: $3.50 for 1st hr, $2 for next sub hr."
350,"klapsons, The Boutique Hotel","6.30am-6.30pm: $3 for 1st 3hr, $1.50 for next sub 30min",6.30pm-6.30am the following day - $4.00 flat,After 2pm - $4.00 flat,$4.00 flat
351,Landmark Village Hotel,8am-5pm:$2.35 for 1st hr $1.07 for sub ½ hr.,5pm-8am the following day: $2.68 per entry.,8am-5pm:$2.35 for 1st hr $1.07 for sub ½ hr.,$2.68 per entry.
352,M Hotel,7am-6pm: $2.80 per ½ hr,6pm-7am next day: $5.80 per entry,7am-1pm: $2.80 per ½ hr; after 1pm: $5.80 per entry,7am to 7am next day: $5.80 per entry
353,Mandarin Oriental Hotel,Mon-Thu: 7am-5pm: $3.27 for 1st 2hrs; $1.64 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-11pm: $2.25 per entry; 11pm-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr
354,Marina Bay Sands,"$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours","$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours","$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours","$14 for 1st hr, $1.50 for every sub ½ hr. Max charge: $32 per 24 hours"
355,Marina Mandarin Hotel,Mon-Thu: 7am-5pm: $3.27 for 1st 2hrs; $1.64 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-11pm: $2.25 per entry; 11pm-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr
356,Novotel Clarke Quay,7am-5pm: $1.07 per hr,5pm-7am: $3.21 per entry,7am-1pm: $1.07 per hr; 1pm-7am next day: $3.21 per entry,7am-1pm: $1.07 per hr; 1pm-7am next day: $3.21 per entry
357,Oasia Hotel Novena,"6am-6pm: $2.50 for 1st hr, $1.20 for sub 30mins or part thereof.",6pm-6am the following day: $2.50 per entry,"6am-6pm: $2.50 for 1st hr, $1.20 for sub 30mins or part thereof.",6am to 6am the following day :$3.00/entry
358,One Fullerton,7.01am-6pm: $1.20 per 10min,6.01pm-12am: $6.54 per entry. 12.01am-7am:$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry,7.01am-12am: $6.54 per entry; 12.01am-7am-$7.63 per entry
359,Orchard Grand Court Hotel,7am-5.59pm:$3.00 for 1st hr; $1.50 for next sub. 30min,6pm-6.59am: $4 per entry,7am-5.59pm:$3.00 for 1st hr; $1.50 for next sub. 30min,7am-7am the following day: $4.00/entry
360,Orchard Hotel Singapore,7am-6pm: $3.50 for 1st hr; $1.50 for sub. 30min,Aft 6pm: $5.50 per entry,7am-6pm: $3.50 for 1st hr; $1.50 for sub. 30min,$5.50 per entry
361,Orchard Rendezvous Hotel (Formerly known as Orchard Parade Hotel),7am-6pm: $5 for 1st hr; $1.50 for sub. 30min,6pm to 7am the following day: $5 per entry,7am-6pm: $5 for 1st hr; $1.50 for sub. 30min,7am-6pm: $5 for 1st hr; $1.50 for sub. 30min
362,Pan Pacific Hotel,Mon-Thu: 7am-5pm: $3.27 for 1st 2hrs; $1.64 per ½ hr for sub. ½ hr (Car Park at Marina Square),Mon-Thu: 5pm-11pm: $2.25 per entry; 11pm-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr,Fri/Sat-Sun/PH: 7am-2am :$2.44 for 1st 2 hrs; $1.22 per hr for sub. 2hrs; $1.43 per ½ hr for sub. ½ hr after 4 hrs of parking. 2am-7am: $1.12 per ½ hr
363,Pan Pacific Orchard,7am-4.59pm: $5.00 for 1st hr; $1.50 for sub. 30min,Aft 5pm: $5.50 per entry,7am-4.59pm: $5.00 for 1st hr; $1.50 for sub. 30min,$5.50 per entry
364,Parkroyal On Beach Road,7am-5pm: Multi Storey Carpark - $2.50 for 1st hr; $1.50 for sub. ½ hr. Hotel Driveway - $6 for 1st hr; $2 for sub. ½ hr.,Aft 5pm: Multi Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.,Charges same as weekdays but $2.50 per entry (Multi-Storey Carpark) & $6 per entry (Hotel Driveway) after 1pm.,Multi-Storey Carpark - $2.50 per entry. Hotel Driveway - $6 per entry.
365,PARKROYAL On Kitchener Road,6am-5.59pm: $2 for 1st hr; $0.80 for sub 30mins and part thereof.,6pm-5.59am: $3 per entry.,6am-5.59pm: $2 for 1st hr; $0.80 for sub 30mins and part thereof.,6am-5.59pm (next day): $3.50 per entry
366,PARKROYAL On Pickering,8am-5pm: $5 for 1st hr; $2.50 for sub. ½ hr.,5pm-8am the following day: $5 for 1st hr; $2.50 for sub. ½ hr.,8am-5pm: $5 for 1st hr; $2.50 for sub. ½ hr.,8am-5pm: $5 for 1st hr; $2.50 for sub. ½ hr.
367,Peninsula Excelsior Hotel,6am-5.59pm: $3.50 for 1st hr; $2 for sub 30min,6pm-5.59am next day: $6 per entry,6am-5.59pm: $4 for 1st hr; $2.50 for sub 30min. 6pm-5.59am next day: $6 per entry,6am-5.59pm: $3.50 for 1st hr; $2 for sub 30min
368,Pullman Singapore Orchard,6am-5.59pm: $2.30 for 1st hr; $1.60/30min,6pm-10.59pm:$2.50 for 1st hr; $1.90/30min; 11pm-5.59am: $5.00/entry,6am-10.59pm:$2.50 for 1st hr; $1.90/30min; 11pm-5.59am: $5.00 per entry.,6am-10.59pm:$2.50 for 1st hr; $1.90/30min; 11pm-5.59am: $5.00 per entry.
369,Raffles Hotel,6am-10.59pm: $4 for 1st hr; $1.50 for sub. 30mins,11pm-5.59am: $4 per entry,6am-10.59pm: $4 for 1st hr; $1.50 for sub. 30mins,6am-10.59pm: $4 for 1st hr; $1.50 for sub. 30mins
370,Ramada by Wyndham Singapore,6am-6pm: $1.80 per hr (Zhongshan Mall),Aft 6pm: $2.20 per entry,6am-6pm: $1.80 per hr (Zhongshan Mall),6am-6pm: $1.80 per hr (Zhongshan Mall)
371,Regent Hotel,Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30min. Cuscaden Parking: 7am-6pm: $7 for 1st hr; $3.50 for sub. 30min,Basement Parking: 6pm to 6.59am: $6/entry. Cuscaden Parking: 6pm to 6.59am:$7 for 1st hr; $3.50 for sub. 30min,Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30min. Cuscaden Parking: 7am-6pm: $7 for 1st hr; $3.50 for sub. 30min,Basement Parking: 7am-6pm: $5 for 1st hr; $2.50 for sub. 30min. Cuscaden Parking: 7am-6pm: $7 for 1st hr; $3.50 for sub. 30min
372,Rendezvous Hotel,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr,7am-7am the following day: $3.70 for 1st hr; $1.90 for sub.½ hr
373,Royal Plaza On Scotts,8am-6pm: $4.80 for 1st hr; $1.80 for sub. 30min,Aft 6pm: $5.80/entry,8am-6pm: $4.80 for 1st hr; $1.80 for sub. 30min,$5.80/entry
374,Shangri-la Hotel,7am-5pm: $6 for 1st hr; $2 for sub. 30min,Aft 5pm: $8 per entry,7am-5pm: $6 for 1st hr; $2 for sub. 30min,7am-5pm: $6 for 1st hr; $2 for sub. 30min
375,Sheraton Towers Hotel,7am-6pm: $4.00 for 1st hr; $2.00 for next sub. 30min,Aft 6pm: $6 per entry,7am-6pm: $4.00 for 1st hr; $2.00 for next sub. 30min,$6 per entry
376,Singapore Marriott Tang Plaza Hotel,6am-6pm: $3.00 for 1st hr; $0.05/min,Aft 6pm: $6 per entry,6am-6pm: $3.00 for 1st hr; $0.05/min,6am-6pm: $3.00 for 1st hr; $0.05/min
377,Swissotel Merchant Court Hotel,8am-5pm: $4.50 for 1st hr;$1.50 for next sub 30min,5pm-8am the following day: $4.50 for 1st hr; $1.50 for next sub 30min,8am-5pm: $4.50 for 1st hr;$1.50 for next sub 30min,8am-5pm: $4.50 for 1st hr;$1.50 for next sub 30min
378,Swissotel The Stamford Hotel,8am-6pm: $2.20 for 1st hr; $0.55 for sub. 15mins,Aft 6pm-8am next day: $3 per entry,"8am-8am next day: $2.20 for 1st 2hrs, $0.40 for sub. 15mins","8am-8am next day: $2.20 for 1st 2hrs, $0.40 for sub. 15mins"
379,The Ritz-Carlton Millenia Singapore,7am-6pm: $3.40 for 1st hr; $1.20 for sub.½ hr,6pm-7am next day: $2.30 per entry,7am-7am (next day): $2.30 for 1st 2hrs; $1.20 per sub. 1hr,7am-7am (next day): $2.30 for 1st 2hrs; $1.20 per sub. 1hr
380,Village Hotel Katong (Ex Paramount Hotel),Daily: $1.08 per hr,-,-,-
381,York Hotel,8.01am-6pm: $3 for 1st hr; $1.50 for sub. 30min,6pm-8am: $4 per entry,8.01am-6pm: $3 for 1st hr; $1.50 for sub. 30min,$4 per entry
382,Yotel Singapore (shared carpark with International Building),7am-6pm: $3 for 1st hr or part thereof.; $1.50 for sub. 30min or part thereof.,6pm-7am: $4 per entry,7am-6pm: $3 for 1st hr or part thereof.; $1.50 for sub. 30min or part thereof.,7am-6pm: $3 for 1st hr or part thereof.; $1.50 for sub. 30min or part thereof.
